Accession,Release_Date,Species,Length,Nuc_Completeness,Geo_Location,U.S._State,Host,Isolation_Source,Collection_Date
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,China,,Homo sapiens,,2019-12
MT907515,2020-08-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,complete,Venezuela,,Homo sapiens,,2020-03-16
MT907516,2020-08-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,complete,Venezuela,,Homo sapiens,,2020-04-10
MT907517,2020-08-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,complete,Venezuela,,Homo sapiens,,2020-03-18
MT907518,2020-08-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,complete,Venezuela,,Homo sapiens,,2020-05-23
MT907519,2020-08-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,complete,Venezuela,,Homo sapiens,,2020-03-15
MT907520,2020-08-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,partial,Venezuela,,Homo sapiens,,2020-05-22
MT907521,2020-08-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,partial,Venezuela,,Homo sapiens,,2020-05-25
LC573273,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,partial,Japan,,Homo sapiens,,2020-06
LC573274,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,partial,Japan,,Homo sapiens,,2020-06
LC573275,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,partial,Japan,,Homo sapiens,,2020-06
LC573276,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,partial,Japan,,Homo sapiens,,2020-06
LC573277,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29889,partial,Japan,,Homo sapiens,,2020-06
LC573278,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,partial,Japan,,Homo sapiens,,2020-06
LC573279,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,partial,Japan,,Homo sapiens,,2020-06
LC573280,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,partial,Japan,,Homo sapiens,,2020-06
LC573281,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,partial,Japan,,Homo sapiens,,2020-06
LC573282,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,partial,Japan,,Homo sapiens,,2020-06
LC573283,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,partial,Japan,,Homo sapiens,,2020-06
LC573284,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,partial,Japan,,Homo sapiens,,2020-06
